Train Dataset,Train View,Train Model,Test Dataset,Test View,Accuracy,F1,ROC AUC,True Positives,False Positives,True Negatives,False Negatives
pklot,puc_rainy,shufflenet,pklot,ufpr04_rainy,0.9949748743718593,0.9919028340080972,0.9963702359346642,245,4,547,0
pklot,puc,shufflenet,pklot,ufpr04_cloudy,0.9949225691799949,0.9914893617021276,0.9941778005058363,1165,11,2754,9
pklot,all_cloudy,shufflenet,pklot,ufpr04,0.9947094945677846,0.9939590075512406,0.9943036542652711,4607,14,5922,42
pklot,all_cloudy,mobilenet,pklot,ufpr04,0.9943316013226263,0.9935705100728676,0.9946429549814788,4636,47,5889,13
cnr,cnr_park_ext_cloudy,mobilenet,cnr,cnr_park_ext_cloudy,0.9941242937853108,0.9943820224719101,0.9942424645753132,2301,7,2098,19
pklot,puc_rainy,mobilenet,pklot,all_cloudy,0.9939338395740596,0.992102721436282,0.9940042846895631,8731,89,14044,50
pklot,puc_cloudy,shufflenet,pklot,puc,0.9938948212054781,0.9934205512511114,0.9942554687414022,19553,238,22611,21
pklot,puc_cloudy,mobilenet,pklot,puc_rainy,0.9938598603419215,0.9954091277342695,0.9930255326142484,5529,26,2726,25
cnr,all,mobilenet,cnr,cnr_park_ext_cloudy,0.9936723163841807,0.9939707149009475,0.9936133180440659,2308,16,2089,12
pklot,puc_sunny,mobilenet,pklot,all_cloudy,0.9935847080387537,0.9916671390510742,0.9940662660264604,8747,113,14020,34
pklot,ufpr04_cloudy,shufflenet,pklot,ufpr04_sunny,0.9935042735042735,0.9941303676243435,0.9938055648992343,3218,9,2594,29
cnr,all,mobilenet,cnr,cnr_park_ext,0.9933779402635028,0.993916349809886,0.9934994428823111,7842,34,6559,62
pklot,all_cloudy,mobilenet,pklot,puc_sunny,0.9932818273429627,0.9928005759539237,0.9936890274336845,9653,133,11046,7
pklot,all_cloudy,mobilenet,pklot,ufpr05_rainy,0.9932810750279956,0.9950576606260296,0.9950819672131148,604,0,283,6
