Train Dataset: pklot, Train View: all_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: all_sunny, Accuracy: 0.9988548993947325
Train Dataset: pklot, Train View: all, Train Model: mobilenet, Test Dataset: pklot, Test View: all, Accuracy: 0.9988216020463886
Train Dataset: pklot, Train View: all_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04_sunny, Accuracy: 0.9988034188034188
Train Dataset: pklot, Train View: ufpr05, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr05_sunny, Accuracy: 0.998798678546401
Train Dataset: pklot, Train View: ufpr05_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr05, Accuracy: 0.9987936546233187
Train Dataset: pklot, Train View: ufpr04, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04, Accuracy: 0.9987718469532357
Train Dataset: pklot, Train View: all_cloudy, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr05_cloudy, Accuracy: 0.9987712831314727
Train Dataset: pklot, Train View: ufpr05_cloudy, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr05_cloudy, Accuracy: 0.9987712831314727
Train Dataset: pklot, Train View: ufpr05, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr05_cloudy, Accuracy: 0.9987712831314727
Train Dataset: pklot, Train View: all_cloudy, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04_rainy, Accuracy: 0.9987437185929648
Train Dataset: pklot, Train View: all_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04_rainy, Accuracy: 0.9987437185929648
Train Dataset: pklot, Train View: ufpr04, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04_rainy, Accuracy: 0.9987437185929648
Train Dataset: pklot, Train View: all, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr05, Accuracy: 0.9987333373544846
Train Dataset: pklot, Train View: ufpr05, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr05, Accuracy: 0.9987333373544846
Train Dataset: pklot, Train View: all_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04_cloudy, Accuracy: 0.9987306422949987
Train Dataset: pklot, Train View: all_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr05_sunny, Accuracy: 0.9986985684252678
Train Dataset: pklot, Train View: all_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: all, Accuracy: 0.9986635242721237
Train Dataset: pklot, Train View: all_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: all_sunny, Accuracy: 0.9986367849937292
Train Dataset: pklot, Train View: all_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: all, Accuracy: 0.998634782858621
Train Dataset: pklot, Train View: all, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04_sunny, Accuracy: 0.9986324786324786
Train Dataset: pklot, Train View: ufpr04, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_sunny, Accuracy: 0.9986324786324786
Train Dataset: pklot, Train View: all, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr05, Accuracy: 0.9986127028168165
Train Dataset: pklot, Train View: ufpr05_cloudy, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr05_cloudy, Accuracy: 0.9985957521502545
Train Dataset: pklot, Train View: all_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04, Accuracy: 0.9985829003306566
Train Dataset: pklot, Train View: ufpr04, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04, Accuracy: 0.998488427019367
Train Dataset: pklot, Train View: ufpr04_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04_sunny, Accuracy: 0.9984615384615385
Train Dataset: pklot, Train View: all, Train Model: mobilenet, Test Dataset: pklot, Test View: all_rainy, Accuracy: 0.9983991995998
Train Dataset: pklot, Train View: all_rainy, Train Model: mobilenet, Test Dataset: pklot, Test View: all_cloudy, Accuracy: 0.9983852666492101
Train Dataset: pklot, Train View: all, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr05_sunny, Accuracy: 0.9982981279407348
Train Dataset: pklot, Train View: all_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_sunny, Accuracy: 0.9982905982905983
Train Dataset: pklot, Train View: all, Train Model: shufflenet, Test Dataset: pklot, Test View: all_rainy, Accuracy: 0.9981990995497749
Train Dataset: pklot, Train View: ufpr04, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04_sunny, Accuracy: 0.9981196581196581
Train Dataset: pklot, Train View: ufpr05_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr05_sunny, Accuracy: 0.9980979076984683
Train Dataset: pklot, Train View: puc, Train Model: shufflenet, Test Dataset: pklot, Test View: puc_rainy, Accuracy: 0.9980736816758969
Train Dataset: pklot, Train View: all_rainy, Train Model: mobilenet, Test Dataset: pklot, Test View: puc_rainy, Accuracy: 0.9979532867806405
Train Dataset: pklot, Train View: all, Train Model: shufflenet, Test Dataset: pklot, Test View: puc_rainy, Accuracy: 0.9979532867806405
Train Dataset: pklot, Train View: puc, Train Model: mobilenet, Test Dataset: pklot, Test View: puc_rainy, Accuracy: 0.9979532867806405
Train Dataset: pklot, Train View: all_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: puc_rainy, Accuracy: 0.997832891885384
Train Dataset: pklot, Train View: all_cloudy, Train Model: shufflenet, Test Dataset: pklot, Test View: puc, Accuracy: 0.9978313650614054
